active_groups,best_psnr,ergas,post_tau,psnr,routing_entropy,run_dir,sam,scheme,ssim
,14.5568,11.084,,14.4733,,training_logs/experiments_v2/ablation_v2_5a_nopost_bestpre/2026-03-20_04-03-08,0.3528,5a_nopost_bestpre,0.3461
4.0,14.4919,11.3288,0.5,14.2991,1.3760244846343994,training_logs/experiments_v2/ablation_v2_5b_scheme1_gumbel/2026-03-20_04-31-41,0.3603,5b_scheme1_gumbel,0.3235
2.0,14.111,11.9023,0.0,13.8071,0.0,training_logs/experiments_v2/ablation_v2_5c_scheme3_dual_branch/2026-03-20_05-00-38,0.3814,5c_scheme3_dual_branch,0.2934
1.0,14.596,11.0604,0.0,14.4787,0.0,training_logs/experiments_v2/ablation_v2_5d_scheme6_matrix/2026-03-20_05-29-09,0.3526,5d_scheme6_matrix,0.3492
